Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (11),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (7),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (8)
215.58,50,200,0.1737,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
216.71,50,200,0.1704,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
217.77,50,200,0.1744,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
218.87,50,200,0.1719,86,36,19,53,24,67,0,0,0,0,86,0,0,0,0,2,0,0
220.20,51,199,0.1685,86,36,19,53,24,67,0,0,0,0,86,0,0,0,0,2,0,0
221.21,51,199,0.1537,86,36,19,53,24,67,0,0,0,0,86,0,0,0,0,0,0,0
222.25,51,199,0.1616,86,36,18,53,24,67,2,0,0,0,86,0,0,0,0,0,0,0
223.32,51,199,0.1542,86,36,18,53,24,67,2,0,0,0,86,0,0,0,0,0,0,0
224.38,51,199,0.1544,86,35,18,54,24,67,2,0,0,0,86,0,0,0,2,0,0,0
225.50,51,199,0.1627,86,35,18,54,24,67,2,0,0,0,86,0,0,0,2,0,0,0
226.56,52,198,0.1633,86,35,18,54,23,67,0,0,0,0,86,0,0,0,0,0,0,0
227.61,53,197,0.1716,86,35,18,54,22,67,0,0,0,0,86,0,0,0,0,0,0,0
228.67,53,197,0.1734,86,35,18,54,22,67,0,0,0,0,86,0,0,0,0,0,0,0
229.81,53,197,0.1754,86,35,18,54,23,66,0,0,0,0,86,0,0,0,0,0,0,2
230.84,54,196,0.1645,86,35,18,53,23,66,0,0,0,0,86,0,0,0,0,0,0,0
231.93,54,196,0.1623,86,35,18,53,23,66,0,0,0,0,86,0,0,0,0,0,0,0
233.04,54,196,0.1614,86,35,18,53,23,66,0,0,0,0,86,0,0,2,0,0,0,0
234.16,54,196,0.1833,86,35,18,53,23,66,0,0,0,0,86,0,0,2,0,0,0,0
235.41,54,196,0.2068,86,34,18,54,23,66,0,0,2,0,86,0,0,2,2,0,0,2
236.47,54,196,0.1973,86,34,18,54,23,66,0,0,2,0,86,0,0,2,2,0,0,4
237.49,54,196,0.1928,86,34,18,54,23,66,0,0,0,0,86,0,0,2,0,0,0,2
238.53,54,196,0.1871,86,34,18,54,23,66,0,0,0,0,86,0,0,0,0,0,0,0
239.66,54,196,0.1950,86,34,18,54,23,66,0,0,0,0,86,0,0,0,0,0,0,0
240.77,55,195,0.1917,86,33,18,54,23,66,0,0,0,0,86,0,2,0,0,0,0,0
