AgentID,SpawnZone,EscapeTime(s),ExitUsed,Seed,ActiveSigns
509,Typical School Chair and Table 12,320.93,Exit_Sub1,0,10
742,School Table,324.16,Exit_Sub1,0,10
70,Typical School Chair and Table 12,324.83,Exit_Sub1,0,10
860,School Table,325.24,Exit_Sub2,0,10
100,School Table,325.27,Exit_Sub1,0,10
848,Typical School Chair and Table 5,325.64,Exit_Sub1,0,10
740,School Table,327.21,Exit_Sub1,0,10
946,Typical School Chair and Table 11,327.49,Exit_Sub1,0,10
441,School Table,329.44,Exit_Sub1,0,10
701,Typical School Chair and Table,331.06,Exit_Sub1,0,10
378,Typical School Chair and Table 13,331.67,Exit_Sub1,0,10
812,water tank 1,331.94,Exit_Sub1,0,10
518,School Table,333.08,Exit_Sub2,0,10
373,Typical School Chair and Table 10,333.77,Exit_Sub2,0,10
335,School Table,333.89,Exit_Sub1,0,10
98,School Table,334.58,Exit_Sub1,0,10
357,School Table,335.92,Exit_Sub1,0,10
23,Typical School Chair and Table 4,336.24,Exit_Sub1,0,10
680,Typical School Chair and Table 8,336.53,Exit_Sub1,0,10
889,Typical School Chair and Table 20,338.64,Exit_Sub1,0,10
106,School Table,339.25,Exit_Sub1,0,10
407,School Table,341.21,Exit_Sub1,0,10
664,Typical School Chair and Table 6,341.82,Exit_Sub1,0,10
64,Typical School Chair and Table 13,341.92,Exit_Sub1,0,10
