Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (11),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (8)
279.66,81,169,0.3028,74,32,13,43,19,60,0,0,74,0,2,0,0
280.66,81,169,0.3045,74,32,13,43,19,60,0,0,74,0,0,0,0
281.76,81,169,0.3121,74,32,13,43,19,60,0,0,74,0,0,0,0
282.86,81,169,0.3619,74,32,13,43,19,60,0,0,74,0,0,0,0
283.96,82,168,0.3385,74,32,13,42,19,60,0,0,74,0,0,0,0
285.01,82,168,0.3364,74,32,13,42,20,59,0,0,74,0,0,0,2
286.01,82,168,0.3452,76,32,13,42,20,59,0,0,76,0,0,0,2
287.12,84,166,0.3245,76,32,13,41,20,58,0,0,76,0,0,0,0
288.12,84,166,0.3261,76,32,13,41,20,58,0,0,76,0,0,0,0
289.13,84,166,0.3282,76,32,12,41,20,58,2,0,76,0,0,0,0
290.19,84,166,0.3406,76,32,12,41,20,58,2,0,76,0,0,0,0
291.21,85,165,0.3383,76,32,12,41,19,58,2,0,76,0,0,0,0
292.33,85,165,0.3397,76,32,12,41,19,58,0,0,76,0,0,0,0
293.35,85,165,0.3352,76,32,12,41,19,58,0,0,76,0,0,0,0
294.46,85,165,0.3263,76,32,12,41,19,58,0,0,76,2,0,0,2
295.55,85,165,0.3330,78,32,12,41,19,58,0,0,78,2,0,0,2
296.77,86,164,0.3429,78,32,12,41,19,58,0,0,78,2,0,0,0
297.82,88,162,0.3370,78,32,12,41,18,57,0,0,78,2,0,0,0
298.90,88,162,0.3635,78,32,12,41,18,57,0,0,78,2,0,0,0
299.98,88,162,0.3642,78,32,12,41,18,57,0,0,78,2,2,0,0
